software_string,type,cpe_part,vendor,product,cna_source,cpe_combined_score,vendor_similarity_score,product_similarity_score,vendor_simple_similarity,product_simple_similarity,vendor_product_count,vendor_vulnerability_count,product_vulnerability_count,recommender_level,recommender_order,recommender_type
Microsoft:Windows Server 2008,SOFTWARE,a,halgame,dk_online_beta,UNKNOWN,0.8604,0.130913388,-0.040821308,0.100503782,0.433012702,3,0,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,myupb,ultimate_php_board,UNKNOWN,0.8604,-0.10428103,0.038237754,0.134839972,0.287213479,3,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,o,mandriva,linux,UNKNOWN,1,0.323613725,-0.052203546,1,1,18,0,0,VENDOR,HIGHEST,operatingsystem
Mandriva:Linux,SOFTWARE,a,mandriva,-,UNKNOWN,0.7315,0.323613725,-0.010211397,1,0,18,0,0,VENDOR,HIGHEST,application
Mandriva:Linux,SOFTWARE,a,linux-sottises,-,UNKNOWN,0.9711,0.020401876,-0.010211397,0.197814142,0,8,0,0,VENDOR,REJECT,application
Avaya:Secure Router 4134,HARDWARE,a,f5,big-ip_link_controller,F5 Networks,0.9293,0.001230039,0.265164789,0,0.377804826,3642,3584,262,PRODUCT,LOW,application
Avaya:IP Phone 1140E,HARDWARE,a,f5,big-ip_link_controller,F5 Networks,0.9054,0.001230039,0.231967883,0,0.426241342,3642,3584,262,PRODUCT,LOW,application
Amazon:Echo Show,HARDWARE,a,f5,big-ip_link_controller,F5 Networks,0.886,0.301854877,0.130258003,0,0.284747399,3642,3584,262,PRODUCT,LOWEST,application
Cisco:Catalyst,HARDWARE,h,cisco,catalyst_c9300-48un,"Cisco Systems, Inc.",1,0.192943885,0.072431223,1,0.75055535,30872,18241,15,PRODUCT,HIGH,hardware
-:GNOME Do,SOFTWARE,a,f5,big-ip_link_controller,F5 Networks,0.7642,0.211732251,-0.025692854,0,0.438397299,3642,3584,262,PRODUCT,LOWEST,application
Mandriva:Linux,SOFTWARE,a,linux-ax25,-,UNKNOWN,0.9579,0.024369525,-0.010211397,0.381385036,0,4,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,o,cybertrust,miracle_linux,UNKNOWN,0.9535,0,0,0.169030851,0.782623792,5,0,0,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,a,linux-nfs,-,UNKNOWN,0.9418,0.028579642,-0.010211397,0.3,0,108,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,a,linux-nfs,nfs-utils,UNKNOWN,0.7983,0.028579642,-0.007426031,0.3,0.565685425,108,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,a,cryptodev-linux,cryptodev-linux,UNKNOWN,0.94,0.00961788,-0.013954257,0.422577127,0.597614305,17,0,0,VENDOR,REJECT,application
